,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000680,2021-01-14,2760,0.713,2021-02-24,2820,0.789,1.918,10191800.0,+,1.92
1,000680,2021-02-25,2865,0.747,2021-04-22,2960,0.717,3.058,10503465.24,+,5.03
2,000680,2021-05-06,2775,0.755,2021-06-04,3920,0.748,40.908,14800222.8,+,48.0
3,000680,2021-06-25,4770,0.75,2021-07-02,5200,0.854,8.742,16094058.28,+,60.94
4,000680,2021-07-08,4850,0.755,2021-09-14,4150,0.792,-14.647,13736761.56,-,37.37
5,000680,2021-09-29,3680,0.757,2021-11-04,3400,0.858,-7.84,12659799.45,-,26.6
