,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000145,2021-01-13,14450,0.701,2021-04-29,17500,0.747,20.804,12080400.0,+,20.8
1,000145,2021-05-13,19450,0.755,2021-05-26,22850,0.704,17.187,14156658.35,+,41.57
2,000145,2021-06-15,20350,0.712,2021-07-21,20200,0.781,-0.985,14017215.27,-,40.17
3,000145,2021-08-25,17800,0.792,2021-09-10,18050,0.706,1.151,14178553.42,+,41.79
4,000145,2021-09-17,17600,0.801,2021-11-03,17400,0.769,-1.384,13982322.24,-,39.82
