,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000230,2021-01-05,14300,0.762,2021-01-12,14550,0.795,1.494,10149400.0,+,1.49
1,000230,2021-01-19,14600,0.737,2021-01-22,15600,0.753,6.582,10817433.51,+,8.17
2,000230,2021-02-25,15450,0.749,2021-04-07,14650,0.755,-5.415,10231669.49,-,2.32
3,000230,2021-04-30,14050,0.788,2021-07-06,14400,0.845,2.235,10460347.3,+,4.6
4,000230,2021-07-09,14050,0.701,2021-09-28,13500,0.748,-4.155,10025719.87,-,0.26
5,000230,2021-10-06,12750,0.71,2021-10-29,13600,0.776,6.4,10667365.94,+,6.67
