,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000075,2021-01-14,49750,0.728,2021-04-28,77400,0.796,55.189,15518900.0,+,55.19
1,000075,2021-06-18,75300,0.746,2021-09-10,75500,0.708,0.015,15521227.84,+,55.21
2,000075,2021-09-14,74300,0.813,2021-12-13,70400,0.719,-5.486,14669733.28,-,46.7
