,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000300,2021-01-04,794,0.719,2021-01-29,795,0.831,-0.124,9987600.0,-,-0.12
1,000300,2021-03-10,789,0.727,2021-03-24,777,0.751,-1.767,9811119.11,-,-1.89
2,000300,2021-03-26,795,0.758,2021-04-22,1175,0.719,47.429,14464434.79,+,44.64
3,000300,2021-05-18,1075,0.764,2021-06-10,1440,0.74,33.619,19327233.12,+,93.27
4,000300,2021-07-06,1565,0.738,2021-09-13,1480,0.756,-5.668,18231765.55,-,82.32
5,000300,2021-09-17,1420,0.746,2021-11-24,1585,0.708,11.341,20299430.08,+,102.99
