,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000227,2021-01-15,14730,0.769,2021-02-24,14579,0.729,-1.273,9872700.0,-,-1.27
1,000227,2021-03-12,14654,0.736,2021-03-18,17080,0.79,16.264,11478395.93,+,14.78
2,000227,2021-05-06,29900,0.712,2021-05-13,31850,0.708,6.255,12196369.6,+,21.96
3,000227,2021-06-11,27750,0.733,2021-07-12,28950,0.723,4.064,12692030.06,+,26.92
4,000227,2021-07-19,27500,0.725,2021-09-24,24000,0.713,-12.945,11049046.77,-,10.49
5,000227,2021-10-05,22100,0.752,2021-11-01,23850,0.723,7.649,11894188.36,+,18.94
6,000227,2021-11-12,20700,0.753,2021-12-13,24100,0.76,16.134,13813196.71,+,38.13
