,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000500,2021-02-03,18732,0.753,2021-03-29,25724,0.785,36.983,13698300.0,+,36.98
1,000500,2021-04-08,24084,0.71,2021-06-08,32803,0.75,35.862,18610784.35,+,86.11
2,000500,2021-06-15,32242,0.736,2021-07-15,29825,0.71,-7.728,17172542.94,-,71.73
3,000500,2021-07-23,29695,0.775,2021-09-07,26544,0.736,-10.835,15311897.91,-,53.12
4,000500,2021-09-17,25206,0.77,2021-10-27,24559,0.704,-2.81,14881633.58,-,48.82
