,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000660,2021-01-13,133000,0.769,2021-03-02,144500,0.849,8.375,10837500.0,+,8.38
1,000660,2021-03-11,137000,0.717,2021-04-12,137500,0.731,0.114,10849854.75,+,8.5
2,000660,2021-04-27,135000,0.833,2021-06-18,124500,0.715,-8.008,9980998.38,-,-0.19
3,000660,2021-08-03,120000,0.733,2021-08-09,116000,0.743,-3.575,9624177.69,-,-3.76
4,000660,2021-08-18,104000,0.723,2021-11-18,110000,0.737,5.505,10153988.67,+,1.54
