,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000670,2021-01-13,542000,0.735,2021-03-02,607000,0.726,11.713,11171300.0,+,11.71
1,000670,2021-03-03,617000,0.766,2021-05-03,684000,0.712,10.582,12353446.97,+,23.53
2,000670,2021-05-06,702000,0.708,2021-05-13,705000,0.811,0.176,12375189.04,+,23.75
3,000670,2021-05-17,700000,0.731,2021-07-27,690000,0.789,-1.675,12167904.62,-,21.68
4,000670,2021-08-24,655000,0.771,2021-09-07,736000,0.811,12.085,13638395.89,+,36.38
5,000670,2021-09-28,682000,0.74,2021-10-20,710000,0.736,3.845,14162792.21,+,41.63
6,000670,2021-11-01,694000,0.756,2021-12-14,660000,0.71,-5.137,13435249.57,-,34.35
