,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000050,2021-01-29,12550,0.706,2021-04-02,12950,0.749,2.929,10292900.0,+,2.93
1,000050,2021-04-30,13150,0.715,2021-05-13,14650,0.702,11.128,11438293.91,+,14.38
2,000050,2021-06-30,14250,0.741,2021-08-11,14250,0.734,-0.25,11409698.18,-,14.1
3,000050,2021-08-19,13100,0.773,2021-10-13,13500,0.717,2.796,11728713.34,+,17.29
4,000050,2021-10-18,13200,0.794,2021-12-21,13600,0.715,2.773,12053950.56,+,20.54
