,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000370,2021-01-25,3530,0.779,2021-03-26,4870,0.752,37.615,13761500.0,+,37.61
1,000370,2021-04-07,4620,0.714,2021-05-13,5310,0.884,14.648,15777284.52,+,57.77
2,000370,2021-05-24,4610,0.788,2021-07-08,4880,0.788,5.592,16659550.27,+,66.6
3,000370,2021-07-28,4575,0.725,2021-09-16,4395,0.798,-4.175,15964014.05,-,59.64
4,000370,2021-09-24,4320,0.784,2021-10-25,4840,0.772,11.757,17840903.18,+,78.41
5,000370,2021-11-02,4530,0.766,2021-12-21,3800,0.722,-16.325,14928375.74,-,49.28
