,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000490,2021-01-29,7380,0.704,2021-02-09,8820,0.795,19.213,11921300.0,+,19.21
1,000490,2021-03-02,8220,0.729,2021-03-31,10050,0.73,21.957,14538859.84,+,45.39
2,000490,2021-04-15,10800,0.809,2021-05-20,12800,0.719,18.222,17188130.88,+,71.88
3,000490,2021-06-03,12100,0.763,2021-08-12,13300,0.835,9.643,18845582.34,+,88.46
4,000490,2021-08-13,13250,0.71,2021-09-09,11500,0.706,-13.425,16315562.91,-,63.16
5,000490,2021-09-23,10400,0.805,2021-11-05,9890,0.772,-5.142,15476616.67,-,54.77
