,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000120,2021-01-18,161500,0.713,2021-02-08,180000,0.79,11.176,11117600.0,+,11.18
1,000120,2021-02-22,171500,0.793,2021-03-31,183000,0.719,6.439,11833462.26,+,18.33
2,000120,2021-04-09,178000,0.742,2021-04-30,171500,0.742,-3.893,11372785.57,-,13.73
3,000120,2021-05-03,167500,0.746,2021-07-05,179500,0.754,6.896,12157052.86,+,21.57
4,000120,2021-07-22,183500,0.73,2021-09-10,170000,0.739,-7.589,11234454.12,-,12.34
