,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000430,2021-01-04,3895,0.719,2021-01-21,4395,0.726,12.555,11255500.0,+,12.55
1,000430,2021-02-19,4165,0.746,2021-04-07,4490,0.703,7.534,12103489.37,+,21.03
2,000430,2021-04-26,4420,0.725,2021-06-16,4380,0.75,-1.153,11963936.14,-,19.64
3,000430,2021-06-24,4230,0.785,2021-09-08,4470,0.725,5.41,12611185.09,+,26.11
4,000430,2021-09-17,4260,0.727,2021-10-21,4325,0.708,1.272,12771599.36,+,27.72
