,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000720,2021-01-04,37216,0.778,2021-01-14,43541,0.756,16.703,11670300.0,+,16.7
1,000720,2021-01-29,39162,0.713,2021-04-13,44173,0.818,12.514,13130721.34,+,31.31
2,000720,2021-05-04,49135,0.75,2021-06-01,55459,0.784,12.588,14783616.54,+,47.84
3,000720,2021-06-16,52930,0.769,2021-07-08,56141,0.707,5.801,15641214.14,+,56.41
4,000720,2021-07-27,53222,0.702,2021-09-24,53200,0.74,-0.291,15595698.21,-,55.96
5,000720,2021-09-27,53300,0.725,2021-11-08,51000,0.718,-4.554,14885470.11,-,48.85
