,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000390,2021-01-19,12300,0.754,2021-04-14,14400,0.814,16.78,11678000.0,+,16.78
1,000390,2021-04-29,13050,0.753,2021-06-08,12850,0.703,-1.779,11470248.38,-,14.7
2,000390,2021-07-20,11700,0.722,2021-09-14,10800,0.704,-7.923,10561460.6,-,5.61
3,000390,2021-09-29,9920,0.71,2021-11-04,9890,0.702,-0.552,10503161.34,-,5.03
4,000390,2021-11-24,9500,0.762,2021-12-14,9300,0.776,-2.35,10256337.05,-,2.56
