,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000070,2021-03-03,90500,0.716,2021-03-23,91600,0.703,0.962,10096200.0,+,0.96
1,000070,2021-04-15,97700,0.71,2021-04-28,133500,0.725,36.301,13761221.56,+,37.61
2,000070,2021-05-14,120000,0.804,2021-07-29,111000,0.797,-7.731,12697341.52,-,26.97
3,000070,2021-08-04,108500,0.708,2021-09-06,120500,0.736,10.782,14066368.88,+,40.66
4,000070,2021-09-27,116500,0.794,2021-10-21,105500,0.734,-9.668,12706432.34,-,27.06
5,000070,2021-11-10,99100,0.74,2021-11-19,103500,0.701,4.179,13237434.15,+,32.37
6,000070,2021-11-24,101000,0.725,2021-12-20,98900,0.789,-2.324,12929796.18,-,29.3
