,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000040,2021-01-21,1020,0.754,2021-02-25,1295,0.812,26.643,12664300.0,+,26.64
1,000040,2021-03-05,1325,0.717,2021-03-26,1345,0.752,1.256,12823363.61,+,28.23
2,000040,2021-03-30,1320,0.71,2021-04-19,1330,0.743,0.506,12888249.83,+,28.88
3,000040,2021-05-03,1225,0.812,2021-06-18,1260,0.723,2.6,13223344.33,+,32.23
4,000040,2021-06-24,1200,0.727,2021-07-23,1275,0.706,5.984,14014629.25,+,40.15
5,000040,2021-08-03,1190,0.82,2021-09-08,1115,0.704,-6.537,13098492.94,-,30.98
6,000040,2021-09-17,1065,0.704,2021-10-28,1035,0.798,-3.06,12697679.06,-,26.98
