,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000060,2021-01-05,14050,0.772,2021-02-01,14900,0.728,5.785,10578500.0,+,5.79
1,000060,2021-02-04,14550,0.788,2021-03-12,17800,0.739,22.031,12909049.34,+,29.09
2,000060,2021-03-26,17750,0.803,2021-04-02,19000,0.706,6.775,13783637.43,+,37.84
3,000060,2021-04-19,18350,0.75,2021-04-29,19550,0.762,6.273,14648285.01,+,46.48
4,000060,2021-05-25,18300,0.722,2021-07-26,22800,0.706,24.279,18204742.13,+,82.05
5,000060,2021-08-24,25150,0.837,2021-09-03,29200,0.704,15.813,21083458.0,+,110.83
6,000060,2021-09-27,29250,0.794,2021-12-09,30850,0.728,5.206,22181062.82,+,121.81
7,000060,2021-12-10,30850,0.765,2021-12-22,32800,0.708,6.055,23524126.17,+,135.24
