,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000100,2021-01-13,71491,0.764,2021-03-19,59049,0.789,-17.61,8239000.0,-,-17.61
1,000100,2021-04-29,61633,0.749,2021-06-03,61442,0.701,-0.559,8192943.99,-,-18.07
2,000100,2021-06-18,61250,0.728,2021-07-07,62303,0.87,1.465,8312970.62,+,-16.87
3,000100,2021-07-23,58953,0.745,2021-08-27,58379,0.704,-1.221,8211469.25,-,-17.89
4,000100,2021-09-27,60102,0.823,2021-12-22,61729,0.706,2.45,8412650.25,+,-15.87
