,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000500,2021-02-03,18732,0.66,2021-03-29,25724,0.77,36.983,13698300.0,+,36.98
1,000500,2021-04-08,24084,0.694,2021-06-08,32803,0.682,35.862,18610784.35,+,86.11
2,000500,2021-06-14,30645,0.688,2021-07-15,29825,0.625,-2.919,18067535.55,-,80.68
3,000500,2021-07-22,28918,0.641,2021-09-06,26846,0.644,-7.397,16731079.95,-,67.31
4,000500,2021-09-17,25206,0.771,2021-10-27,24559,0.691,-2.81,16260936.6,-,62.61
5,000500,2021-11-04,24084,0.614,2021-12-09,21451,0.607,-11.155,14447029.12,-,44.47
