,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000225,2021-01-13,6475,0.646,2021-02-24,5700,0.725,-12.189,8781100.0,-,-12.19
1,000225,2021-02-25,5850,0.689,2021-03-18,6700,0.615,14.244,10031879.88,+,0.32
2,000225,2021-05-06,14450,0.687,2021-05-14,15200,0.623,4.927,10526150.6,+,5.26
3,000225,2021-06-11,13800,0.612,2021-07-09,15000,0.641,8.424,11412873.53,+,14.13
4,000225,2021-07-14,15300,0.72,2021-09-07,11300,0.629,-26.328,8408092.19,-,-15.92
5,000225,2021-09-14,10800,0.676,2021-12-14,10900,0.7,0.674,8464762.73,+,-15.35
