,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000390,2021-01-19,12300,0.747,2021-04-14,14400,0.79,16.78,11678000.0,+,16.78
1,000390,2021-04-29,13050,0.715,2021-05-13,13050,0.624,-0.25,11648805.0,-,16.49
2,000390,2021-05-21,12500,0.613,2021-06-08,12850,0.698,2.543,11945034.11,+,19.45
3,000390,2021-06-22,12700,0.618,2021-09-14,10800,0.693,-15.173,10132614.08,-,1.33
4,000390,2021-09-27,10100,0.646,2021-11-03,9990,0.61,-1.336,9997242.36,-,-0.03
5,000390,2021-11-23,9510,0.665,2021-12-14,9300,0.764,-2.453,9752010.0,-,-2.48
