,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000300,2021-01-04,794,0.668,2021-01-26,865,0.669,8.67,10867000.0,+,8.67
1,000300,2021-02-24,804,0.672,2021-03-24,777,0.75,-3.6,10475788.0,-,4.76
2,000300,2021-03-26,795,0.761,2021-04-22,1175,0.725,47.429,15444349.49,+,54.44
3,000300,2021-04-28,1110,0.626,2021-06-10,1440,0.773,29.405,19985760.46,+,99.86
4,000300,2021-07-05,1585,0.692,2021-09-13,1480,0.703,-6.858,18615137.01,-,86.15
5,000300,2021-09-14,1465,0.635,2021-11-24,1585,0.628,7.921,20089642.01,+,100.9
