,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000087,2021-01-05,20350,0.751,2021-01-27,21100,0.606,3.426,10342600.0,+,3.43
1,000087,2021-02-05,20750,0.616,2021-05-13,22850,0.772,9.845,11360828.97,+,13.61
2,000087,2021-05-21,22300,0.787,2021-05-26,23600,0.693,5.565,11993059.1,+,19.93
3,000087,2021-06-15,23700,0.698,2021-09-13,21000,0.69,-11.614,10600185.22,-,6.0
4,000087,2021-09-28,20700,0.668,2021-10-20,20800,0.705,0.232,10624777.65,+,6.25
