,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000720,2021-01-04,37216,0.609,2021-01-08,39892,0.602,6.922,10692200.0,+,6.92
1,000720,2021-01-28,41059,0.638,2021-04-13,44173,0.666,7.315,11474334.43,+,14.74
2,000720,2021-05-04,49135,0.746,2021-06-01,55459,0.77,12.588,12918723.65,+,29.19
3,000720,2021-06-14,54195,0.695,2021-07-02,58378,0.611,7.449,13881039.37,+,38.81
4,000720,2021-07-12,56141,0.624,2021-09-24,53200,0.712,-5.475,13121052.46,-,31.21
5,000720,2021-09-27,53300,0.695,2021-11-08,51000,0.675,-4.554,12523519.73,-,25.24
