,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000105,2021-01-08,66376,0.616,2021-04-26,60558,0.622,-8.993,9100700.0,-,-8.99
1,000105,2021-04-29,59509,0.673,2021-07-06,58079,0.778,-2.647,8859804.47,-,-11.4
2,000105,2021-07-23,57030,0.641,2021-09-07,57507,0.605,0.584,8911545.73,+,-10.88
3,000105,2021-09-29,55408,0.602,2021-10-22,56362,0.609,1.467,9042278.11,+,-9.58
4,000105,2021-12-03,55885,0.751,2021-12-29,59500,0.646,6.202,9603080.2,+,-3.97
