,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000120,2021-01-18,161500,0.716,2021-02-08,180000,0.775,11.176,11117600.0,+,11.18
1,000120,2021-02-15,173500,0.653,2021-03-31,183000,0.602,5.212,11697049.31,+,16.97
2,000120,2021-04-02,182000,0.656,2021-04-29,174000,0.613,-4.635,11154891.07,-,11.55
3,000120,2021-05-03,167500,0.732,2021-07-05,179500,0.668,6.896,11924132.36,+,19.24
4,000120,2021-07-22,183500,0.712,2021-09-10,170000,0.713,-7.589,11019209.96,-,10.19
5,000120,2021-09-27,163000,0.698,2021-10-25,150000,0.621,-8.206,10114973.59,-,1.15
