,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000670,2021-01-13,542000,0.705,2021-02-26,620000,0.647,14.105,11410500.0,+,14.11
1,000670,2021-03-03,617000,0.729,2021-05-03,684000,0.702,10.582,12617959.11,+,26.18
2,000670,2021-05-06,702000,0.679,2021-05-13,705000,0.66,0.176,12640166.72,+,26.4
3,000670,2021-05-17,700000,0.709,2021-07-27,690000,0.726,-1.675,12428443.93,-,24.28
4,000670,2021-08-02,684000,0.617,2021-09-07,736000,0.819,7.333,13339821.72,+,33.4
5,000670,2021-09-28,682000,0.736,2021-10-20,710000,0.625,3.845,13852737.87,+,38.53
6,000670,2021-11-01,694000,0.748,2021-12-14,660000,0.675,-5.137,13141122.73,-,31.41
