,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000700,2021-01-19,5570,0.679,2021-02-19,5890,0.646,5.481,10548100.0,+,5.48
1,000700,2021-03-08,5540,0.787,2021-04-14,7420,0.654,33.6,14092261.6,+,40.92
2,000700,2021-05-06,8010,0.677,2021-06-03,8010,0.672,-0.25,14057030.95,-,40.57
3,000700,2021-06-10,7490,0.722,2021-09-09,6140,0.745,-18.229,11494574.78,-,14.95
4,000700,2021-09-14,6040,0.607,2021-11-05,5850,0.68,-3.388,11105138.59,-,11.05
5,000700,2021-11-11,5600,0.702,2021-12-15,6750,0.662,20.234,13352152.33,+,33.52
6,000700,2021-12-24,6570,0.662,2021-12-30,6300,0.692,-4.349,12771467.23,-,27.71
