,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000210,2021-01-26,70100,0.747,2021-02-10,88000,0.736,25.221,12522100.0,+,25.22
1,000210,2021-03-03,83400,0.704,2021-03-24,82300,0.604,-1.566,12326003.91,-,23.26
2,000210,2021-03-25,89900,0.663,2021-03-30,87400,0.604,-3.024,11953265.55,-,19.53
3,000210,2021-04-05,84800,0.674,2021-04-26,99500,0.627,17.042,13990341.07,+,39.9
4,000210,2021-04-30,94600,0.62,2021-07-19,80500,0.648,-15.118,11875281.31,-,18.75
5,000210,2021-07-27,78100,0.684,2021-09-10,71200,0.693,-9.063,10799024.56,-,7.99
6,000210,2021-09-24,70500,0.65,2021-09-30,75900,0.619,7.39,11597072.47,+,15.97
7,000210,2021-10-06,69000,0.607,2021-12-10,63500,0.602,-8.201,10645996.56,-,6.46
