,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000650,2021-01-05,68800,0.753,2021-01-29,66500,0.68,-3.585,9641500.0,-,-3.58
1,000650,2021-02-25,64700,0.671,2021-04-06,67200,0.707,3.604,9988979.66,+,-0.11
2,000650,2021-04-30,67800,0.679,2021-05-11,70600,0.7,3.869,10375453.28,+,3.75
3,000650,2021-05-25,70400,0.666,2021-05-31,80600,0.656,14.202,11848975.15,+,18.49
4,000650,2021-06-08,78700,0.731,2021-07-20,73500,0.63,-6.841,11038386.76,-,10.38
5,000650,2021-07-21,72700,0.623,2021-08-17,69800,0.637,-4.229,10571573.38,-,5.72
6,000650,2021-08-25,70200,0.667,2021-10-28,69000,0.621,-1.955,10364899.12,-,3.65
