,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000145,2021-01-07,14700,0.672,2021-01-27,14950,0.684,1.446,10144600.0,+,1.45
1,000145,2021-03-05,14350,0.616,2021-04-29,17500,0.708,21.646,12340500.12,+,23.41
2,000145,2021-05-13,19450,0.722,2021-05-26,22850,0.647,17.187,14461461.88,+,44.61
3,000145,2021-06-01,21700,0.646,2021-07-21,20200,0.751,-7.145,13428190.43,-,34.28
4,000145,2021-08-17,18100,0.656,2021-09-10,18050,0.635,-0.526,13357558.15,-,33.58
5,000145,2021-09-17,17600,0.767,2021-11-03,17400,0.704,-1.384,13172689.55,-,31.73
