,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000660,2021-01-04,126000,0.624,2021-01-08,138000,0.667,9.25,10925000.0,+,9.25
1,000660,2021-01-13,133000,0.747,2021-03-02,144500,0.833,8.375,11839968.75,+,18.4
2,000660,2021-03-11,137000,0.717,2021-04-12,137500,0.684,0.114,11853466.31,+,18.53
3,000660,2021-04-13,139500,0.657,2021-06-18,124500,0.611,-10.976,10552429.85,-,5.52
4,000660,2021-06-22,122000,0.615,2021-08-09,116000,0.602,-5.156,10008346.57,-,0.08
5,000660,2021-08-18,104000,0.749,2021-11-04,106000,0.603,1.668,10175285.79,+,1.75
