,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000227,2021-01-13,14452,0.667,2021-02-24,14579,0.653,0.627,10062700.0,+,0.63
1,000227,2021-03-10,13998,0.632,2021-03-18,17080,0.771,21.712,12247513.42,+,22.48
2,000227,2021-04-01,22650,0.607,2021-04-05,21900,0.713,-3.553,11812359.27,-,18.12
3,000227,2021-05-03,29500,0.695,2021-05-13,31850,0.635,7.696,12721438.44,+,27.21
4,000227,2021-05-28,28200,0.638,2021-07-12,28950,0.637,2.403,13027134.61,+,30.27
5,000227,2021-07-14,29500,0.653,2021-09-09,24500,0.635,-17.157,10792069.12,-,7.92
6,000227,2021-09-30,22900,0.677,2021-12-10,26300,0.62,14.56,12363394.38,+,23.63
