,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000270,2021-01-11,70100,0.604,2021-01-18,71500,0.774,1.742,10174200.0,+,1.74
1,000270,2021-02-10,86400,0.639,2021-03-11,82300,0.77,-4.984,9667117.87,-,-3.33
2,000270,2021-03-25,81300,0.667,2021-06-10,89200,0.625,9.443,10579983.81,+,5.8
3,000270,2021-07-09,86000,0.75,2021-09-13,82600,0.72,-4.194,10136259.29,-,1.36
4,000270,2021-09-28,80100,0.604,2021-11-11,83900,0.666,4.482,10590566.43,+,5.91
