,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000050,2021-01-27,13100,0.703,2021-04-02,12950,0.693,-1.392,9860800.0,-,-1.39
1,000050,2021-04-30,13150,0.676,2021-05-13,14650,0.677,11.128,10958109.82,+,9.58
2,000050,2021-06-02,15100,0.679,2021-08-11,14250,0.649,-5.865,10315416.68,-,3.15
3,000050,2021-08-18,13350,0.635,2021-09-08,13800,0.736,3.112,10636432.45,+,6.36
4,000050,2021-09-24,13600,0.686,2021-10-13,13500,0.656,-0.983,10531876.32,-,5.32
5,000050,2021-10-18,13200,0.78,2021-12-21,13600,0.727,2.773,10823925.25,+,8.24
