,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000240,2021-01-11,14750,0.666,2021-01-25,16950,0.647,14.628,11462800.0,+,14.63
1,000240,2021-02-01,16550,0.718,2021-02-08,21450,0.619,29.283,14819451.72,+,48.19
2,000240,2021-03-09,16950,0.623,2021-04-01,18200,0.696,7.106,15872521.96,+,58.73
3,000240,2021-04-23,18450,0.602,2021-04-30,18600,0.811,0.561,15961566.81,+,59.62
4,000240,2021-05-04,18300,0.618,2021-05-21,19600,0.654,6.836,17052699.52,+,70.53
5,000240,2021-06-16,20900,0.622,2021-06-22,20800,0.633,-0.727,16928726.39,-,69.29
6,000240,2021-07-07,19350,0.702,2021-10-21,17500,0.689,-9.787,15271911.94,-,52.72
