,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000760,2021-01-19,15750,0.769,2021-01-26,16550,0.618,4.817,10481700.0,+,4.82
1,000760,2021-02-10,17300,0.676,2021-03-30,23250,0.617,34.057,14051452.57,+,40.51
2,000760,2021-04-08,20400,0.728,2021-06-10,20750,0.607,1.461,14256744.29,+,42.57
3,000760,2021-06-28,21000,0.679,2021-07-23,21700,0.796,3.075,14695139.18,+,46.95
4,000760,2021-07-26,22000,0.72,2021-11-01,16450,0.742,-25.414,10960516.51,-,9.61
