,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000640,2021-01-20,123000,0.675,2021-02-25,117000,0.615,-5.116,9488400.0,-,-5.12
1,000640,2021-03-03,111500,0.624,2021-04-01,106500,0.736,-4.723,9040262.87,-,-9.6
2,000640,2021-04-06,102000,0.798,2021-04-22,124500,0.752,21.754,11006881.65,+,10.07
3,000640,2021-04-23,127500,0.632,2021-07-20,138000,0.633,7.965,11883579.77,+,18.84
4,000640,2021-07-23,126000,0.666,2021-09-17,120500,0.67,-4.604,11336459.76,-,13.36
5,000640,2021-10-05,109000,0.614,2021-12-14,114000,0.607,4.326,11826875.01,+,18.27
