,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000155,2021-01-04,41250,0.706,2021-01-28,40600,0.64,-1.822,9817800.0,-,-1.82
1,000155,2021-02-01,39950,0.643,2021-05-03,46500,0.809,16.105,11398956.69,+,13.99
2,000155,2021-06-18,63900,0.686,2021-07-16,74100,0.615,15.673,13185515.17,+,31.86
3,000155,2021-07-21,69200,0.714,2021-09-03,67400,0.602,-2.845,12810387.26,-,28.1
4,000155,2021-11-12,84800,0.686,2021-11-19,82000,0.824,-3.544,12356387.14,-,23.56
5,000155,2021-11-26,75400,0.781,2021-12-28,80500,0.752,6.497,13159181.61,+,31.59
