,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000150,2021-01-04,52000,0.738,2021-01-19,55600,0.843,6.656,10665600.0,+,6.66
1,000150,2021-02-01,52300,0.729,2021-05-06,64700,0.67,23.4,13161350.4,+,31.61
2,000150,2021-06-16,92800,0.672,2021-07-09,100500,0.802,8.027,14217812.0,+,42.18
3,000150,2021-07-21,102500,0.723,2021-08-17,88900,0.77,-13.485,12300540.05,-,23.01
4,000150,2021-08-19,85900,0.602,2021-10-27,108500,0.646,25.994,15497942.43,+,54.98
5,000150,2021-11-12,138500,0.703,2021-11-22,126000,0.73,-9.253,14063917.82,-,40.64
