,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000180,2021-01-13,2125,0.739,2021-02-01,2290,0.812,7.495,10749500.0,+,7.5
1,000180,2021-02-02,2270,0.81,2021-02-23,2415,0.647,6.122,11407584.39,+,14.08
2,000180,2021-03-30,2370,0.756,2021-04-29,2830,0.704,19.111,13587687.84,+,35.88
3,000180,2021-05-24,2870,0.604,2021-08-02,2990,0.742,3.921,14120461.08,+,41.2
4,000180,2021-08-03,2925,0.643,2021-09-09,2800,0.861,-4.513,13483204.67,-,34.83
5,000180,2021-10-06,2510,0.604,2021-10-29,2545,0.727,1.141,13637048.04,+,36.37
