,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000547,2021-01-04,19550,0.698,2021-01-18,19800,0.611,1.026,10102600.0,+,1.03
1,000547,2021-02-01,19550,0.653,2021-03-17,20000,0.65,2.046,10309299.2,+,3.09
2,000547,2021-03-24,19800,0.615,2021-04-08,21200,0.696,6.803,11010640.82,+,10.11
3,000547,2021-06-02,32300,0.67,2021-06-18,31400,0.641,-3.029,10677128.51,-,6.77
4,000547,2021-06-22,32050,0.622,2021-07-20,30000,0.616,-6.63,9969234.89,-,-0.31
5,000547,2021-08-03,28000,0.622,2021-10-01,29200,0.667,4.025,10370496.59,+,3.7
6,000547,2021-11-12,27000,0.605,2021-12-23,28250,0.646,4.368,10823479.88,+,8.23
